UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
133881,146900,1469,Florida Institute of Technology,Melbourne,FL,www.fit.edu,fit.studentaidcalculator.com/survey.aspx,13
133942,2329900,23299,Florida Institute of Ultrasound Inc,Pensacola,FL,www.fiuonline.net,www.fiuonline.net,13
133951,963500,9635,Florida International University,Miami,FL,www.fiu.edu,www.collegeportraits.org/FL/FIU/estimator/agree,21
133960,148500,1485,Florida Keys Community College,Key West,FL,www.fkcc.edu,www.fkcc.edu/future-students/costofattendance.da,33
133979,148600,1486,Florida Memorial University,Miami Gardens,FL,www.fmuniv.edu,www.fmuniv.edu/home/financial-aid/cost-of-attendance/net-price-calculator,21
133997,2305800,23058,Florida Career College-Miami,Miami,FL,www.careercollege.edu,npc.collegeboard.org/student/app/careercollege,21
134024,4129900,41299,Florida School of Massage,Gainesville,FL,www.floridaschoolofmassage.com/,www.floridaschoolofmassage.com/prospective-students/npcalc.htm,41
134079,148800,1488,Florida Southern College,Lakeland,FL,www.flsouthern.edu,www.flsouthern.edu/admissions/financial-aid.shtml#net-price,13
134097,148900,1489,Florida State University,Tallahassee,FL,www.fsu.edu,www.collegeportraits.org/FL/FSU/estimator,12
134112,2218700,22187,Florida Technical College,Orlando,FL,www.ftccollege.edu,www.ftccollege.edu/disclosures.html,21
134121,2598200,25982,University of Southernmost Florida,Jacksonville,FL,www.usmf.edu,www.usmf.edu,11
13412101,2598203,25982,University of Southernmost Florida-Coral Gables Campus,Coral Gables,FL,http://www.usmf.edu,NULL,NULL
134130,153500,1535,University of Florida,Gainesville,FL,www.ufl.edu/,npc.collegeboard.org/student/app/ufl,12
134149,814600,8146,Everest University-Pompano Beach,Pompano Beach,FL,www.everest.edu/campus/pompano_beach,www.Everest.edu/npc,12
134228,2338400,23384,Fort Pierce Beauty Academy,Fort Pierce,FL,fpbeauty.com,acadm.fpbeauty.net/fp/npcalc.htm,21
134237,2362100,23621,Full Sail University,Winter Park,FL,www.fullsail.edu,fullsail.studentaidcalculator.com/welcome.aspx,21
134291,2307400,23074,George Stone Technical Center,Pensacola,FL,www.georgestonecenter.com,www.georgestonecenter.com/Disclaimer.html,21
134307,3079800,30798,George T Baker Aviation School,Miami,FL,www.bakeraviation.edu,www.bakeraviation.edu,21
134343,149000,1490,Gulf Coast State College,Panama City,FL,www.gulfcoast.edu/default.htm,www.gulfcoast.edu/netprice/npcalc.htm,13
134422,2325100,23251,Key College,Dania Beach,FL,www.keycollege.edu,www.keycollege.edu,21
134495,787000,7870,Hillsborough Community College,Tampa,FL,www.hccfl.edu,www.hccfl.edu/financialaid/netpricecalculator/npcalc.htm,11
134510,2188900,21889,Hobe Sound Bible College,Hobe Sound,FL,www.hsbc.edu,hsbc.edu/admissionsarticle/apply,21
134529,4162500,41625,Hollywood Institute of Beauty Careers,Hollywood,FL,www.hi.edu,www.hi.edu,21
134574,2279600,22796,Cortiva Institute-Florida,Pinellas Park,FL,www.cortiva.com,www.cortiva.com/npc/florida/npcalc.htm,21
134608,149300,1493,Indian River State College,Fort Pierce,FL,www.irsc.edu,esweb.irsc.edu/Mariner/finaid/netprice/npcalc.htm,21
134680,3031400,30314,International Academy of Design and Technology-Tampa,Tampa,FL,www.iadt.edu/tampa,www.iadt.edu/Tuition-And-Financial-Aid/Financial-Aid-Tools/Financial-Aid-Estimator,21
134714,2257900,22579,International Academy,South Daytona,FL,www.intl-academy.com,www.intl-academy.edu,21
134811,887800,8878,AI Miami International University of Art and Design,Miami,FL,www.artinstitutes.edu/miami/,tcc.noellevitz.com/edmc/Freshman-Students?iframe=true&width=600&height=1000,11
134909,732910,7329,ITT Technical Institute-Tampa,Tampa,FL,www.itt-tech.edu,www.itt-tech.edu/npc,21
134945,149500,1495,Jacksonville University,Jacksonville,FL,www.jacksonville.edu,www.ju.edu/financialaid/Pages/default.aspx,11
135063,149700,1497,Jones College-Jacksonville,Jacksonville,FL,www.jones.edu,netprice.jones.edu/,11
135081,2151900,21519,Keiser University-Ft Lauderdale,Fort Lauderdale,FL,www.keiseruniversity.edu,www.keiseruniversity.edu/financial_services.php,12
13508101,2151901,21519,Keiser University-Melbourne,Melbourne,FL,http://www.keiseruniversity.edu,NULL,NULL
13508102,2151902,21519,Keiser University-Tallahassee,Tallahassee,FL,http://www.keiseruniversity.edu,NULL,NULL
13508103,2151904,21519,Keiser University-Daytona,Daytona Beach,FL,http://www.keiseruniversity.edu,NULL,NULL
13508104,2151906,21519,Keiser University-Lakeland,Lakeland,FL,http://www.keiseruniversity.edu,NULL,NULL
13508105,2151908,21519,Keiser University- Miami,Miami,FL,http://www.keiseruniversity.edu,NULL,NULL
13508106,2151909,21519,Keiser University-Orlando,Orlando,FL,http://www.keiseruniversity.edu,NULL,NULL
13508107,2151903,21519,Keiser University-Sarasota,Sarasota,FL,http://www.keiseruniversity.edu,NULL,NULL
13508108,2151910,21519,Keiser University-Jacksonville,Jacksonville,FL,http://www.keiseruniversity.edu,NULL,NULL
13508109,2151914,21519,Keiser University-Tampa,Tampa,FL,http://www.keiseruniversity.edu,NULL,NULL
13508110,2151913,21519,Keiser University-Pembroke Pines,Pembroke Pines,FL,http://www.keiseruniversity.edu,NULL,NULL
13508111,2151911,21519,Keiser University-Port St Lucie,Port St Lucie,FL,http://www.keiseruniversity.edu,NULL,NULL
13508112,2151912,21519,Keiser University-West Palm Beach,West Palm Beach,FL,http://www.keiseruniversity.edu,NULL,NULL
13508113,2151917,21519,Keiser University-Ft Myers,Ft Myers,FL,http://www.keiseruniversity.edu,NULL,NULL
135124,2597100,25971,Heritage Institute-Ft Myers,Fort Myers,FL,heritage-education.com,www.heritage-education.com,21
135142,2287100,22871,La Belle Beauty School,Hialeah,FL,labellebeauty.net,labellebeauty.net,21
135160,150100,1501,Florida Gateway College,Lake City,FL,https://www.fgc.edu/,www.fgc.edu/gainful-employment-and-net-price-calculator/,33
135179,2228300,22283,Lake Technical Center,Eustis,FL,www.laketech.org,www.laketech.org/NetPriceCalculator/npcalc.htm,22
135188,150200,1502,Lake-Sumter State College,Leesburg,FL,www.lssc.edu,www.lssc.edu/admissions/Pages/Net-Price-Calculator.aspx,22
135267,755800,7558,Fort Myers Institute of Technology,Fort Myers,FL,www.fortmyerstech.edu,voc.leeschools.net/userfiles/file/Net%20Price%20Calculator/npcalc.htm,13
135276,558500,5585,Lively Technical Center,Tallahassee,FL,www.livelytech.com,livelytech.com,12
135294,558600,5586,Lindsey Hopkins Technical Education Center,Miami,FL,lindsey.dadeschools.net,lindsey.dadeschools.net/forms/netpricecalc/npcalc.htm,11
135337,1016100,10161,Loraines Academy Inc,Saint Petersburg,FL,www.lorainesacademy.edu/,www.lorainesacademy.edu/,12
135364,3100900,31009,Luther Rice University & Seminary,Lithonia,GA,www.LRU.edu,www.LRU.edu/netprice.aspx,21
135391,150400,1504,State College of Florida-Manatee-Sarasota,Bradenton,FL,www.scf.edu,www.scf.edu/StudentServices/FinancialAid/default.asp,21
135407,561200,5612,Manatee Technical Institute,Bradenton,FL,manateetech.edu/,manateetech.edu/,21
135416,2148300,21483,Manhattan Hairstyling Academy,Tampa,FL,www.manhattanhairstylingacademy.com,www.manhattanhairstylingacademy.com/consumer-information.php,11
13541601,2148301,21483,Manhattan Hairstyling Academy - North,Tampa,FL,http://www.manhattanhairstylingacademy.com,NULL,NULL
135522,560800,5608,Traviss Career Center,Lakeland,FL,www.traviss.edu,nces.ed.gov/collegenavigator/,41
135610,177201,1772,Trinity International University-Florida,Davie,FL,www.florida.tiu.edu,www.florida.tiu.edu/admissions/financial-aid/cost-calculator.dot,21
135647,2316200,23162,Miami Lakes Educational Center,Miami Lakes,FL,mlec.dadeschools.net,mlec.dadeschools.net/AdultVocational/StudentServices/NetPriceCalculator/npcalc.htm,21
135717,150600,1506,Miami Dade College,Miami,FL,www.mdc.edu/main/,www.mdc.edu/netpricecalculator/npcalc.htm,11
135726,153600,1536,University of Miami,Coral Gables,FL,www.miami.edu/,public.cgcent.miami.edu/AttendanceCalculator/,21
135735,2501500,25015,Mid Florida Tech,Orlando,FL,www.ocpstechcenters.net/MidFloridaTech,www.mft.ocps.net/Net-Price-Calculator/index.htm,21
135771,2283801,22838,Beauty Schools of America-Miami,Miami,FL,www.bsa.edu/,www.bsa.edu/admission/net-price-calculator.html,21
135939,3026508,30265,Remington College-Tampa Campus,Tampa,FL,www.remingtoncollege.edu/tampa-technical-school-overview,calculator.remingtoncollege.edu/,21
135957,2121800,21218,Everest Institute-North Miami,Miami,FL,www.everest.edu/campus/miami,www.Everest.edu/npc,21
136048,3113400,31134,Academy of Healing Arts Massage & Facial Skin Care,Lake Worth,FL,www.ahamassage.com,www.ahamassage.com/,21
136066,1246117,12461,Lincoln College of Technology-West Palm Beach,West Palm Beach,FL,www.lincolntech.com,www.lincolnedu.com/net-price-calculator,12
136109,2149900,21499,Paul Mitchell the School-Jacksonville,Jacksonville,FL,jacksonville.paulmitchell.edu,jacksonville.paulmitchell.edu/programs/finance-options,11
136145,150800,1508,North Florida Community College,Madison,FL,www.nfcc.edu,www.nfcc.edu/media/188682/npcalc.htm,41
136172,984100,9841,University of North Florida,Jacksonville,FL,www.unf.edu,www.unf.edu/onestop/finaid/Financial_Aid_-_Calculator.aspx,11
136206,407215,4072,Northwood University-Florida,West Palm Beach,FL,www.northwood.edu,www.northwood.edu/webapps/finaid/coa/,12
136215,150900,1509,Nova Southeastern University,Fort Lauderdale,FL,www.nova.edu,www.nova.edu/npc/,21
136233,151000,1510,Northwest Florida State College,Niceville,FL,www.nwfsc.edu/,www.nwfsc.edu/financialaid/NetPriceCalculator.cfm,41
136288,149900,1499,Everest University-North Orlando,Orlando,FL,www.everest.edu/campus/north_orlando,www.Everest.edu/npc,21
136303,2513200,25132,Orlando Tech,Orlando,FL,www.orlandotech.ocps.net,www.orlandotech.ocps.net,12
136330,884900,8849,Palm Beach Atlantic University,West Palm Beach,FL,www.pba.edu,www.pba.edu/net-price-calculator,12
136358,151200,1512,Palm Beach State College,Lake Worth,FL,www.palmbeachstate.edu/,www.palmbeachstate.edu/x20862.xml,21
136400,1065200,10652,Pasco-Hernando Community College,New Port Richey,FL,www.phcc.edu,phcc.edu/node/20783,21
136473,151300,1513,Pensacola State College,Pensacola,FL,www.pensacolastate.edu,www.pensacolastate.edu/financialAid/netPriceCalc/npcalc.htm,13
136491,560500,5605,Pinellas Technical Education Center-Clearwater,Clearwater,FL,www.myptec.org,www.myptec.org/?page=FinAidGenInfo,21
136516,151400,1514,Polk State College,Winter Haven,FL,www.polk.edu,www.polk.edu/admission-aid/financial-aid/net-price-calculator/,13
136659,2554200,25542,Radford M Locklin Technical Center,Milton,FL,www.locklintech.com,www.locklintech.com,41
136701,822300,8223,Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,www.svdp.edu,www.svdp.edu,21
136765,2511700,25117,Ridge Career Center,Winter Haven,FL,www.ridge.edu/,www.ridge.edu/,13
136774,1257400,12574,Ringling College of Art and Design,Sarasota,FL,www.ringling.edu,npc.collegeboard.org/student/app/ringling,13
136783,910400,9104,Toni & Guy Hairdressing Academy-Jacksonville,Jacksonville,FL,toniguy.com/academy/jacksonville_academy/default.aspx,toniguy.com/academy/jacksonville_academy/default.aspx,11
136826,2524200,25242,Robert Morgan Educational Center,Miami,FL,rmec.dadeschools.net,rmec.dadeschools.net,21
136950,151500,1515,Rollins College,Winter Park,FL,www.rollins.edu,www.rollins.edu/admission/financial-aid/cost-calculator.html,21
137023,1254400,12544,First Coast Technical College,Saint Augustine,FL,fctc.edu/,fctc.edu/consumer-information/net-price-calculator/,23
137032,152600,1526,Saint Leo University,Saint Leo,FL,www.saintleo.edu,uts.saintleo.edu/stusvcs/Aid,23
137078,152800,1528,St Petersburg College,Clearwater,FL,www.spcollege.edu,www.spcollege.edu/NetCalc/npcalc.htm,13
137087,2115300,21153,Pinellas Technical Education Center-St Petersburg,Saint Petersburg,FL,myptec.org,www.myptec.org/?page=FinAidGenInfo,12
137096,151900,1519,Santa Fe College,Gainesville,FL,www.sfcollege.edu,www.sfcollege.edu/financialaid/NetPriceCalculator/,22
137120,560700,5607,Sarasota County Technical Institute,Sarasota,FL,www.scti.edu,www.scti.edu/Index.aspx?page=561,21
137148,2179918,21799,Argosy University-Sarasota,Sarasota,FL,www.argosy.edu/sarasota/,tcc.noellevitz.com/edmc/Argosy%20University?iframe=true&width600&height=1000,21
137209,152000,1520,Seminole State College of Florida,Sanford,FL,www.seminolestate.edu/,www.seminolestate.edu/financial-aid/resources/cost-estimator,13
137245,990200,9902,Sheridan Technical Center,Hollywood,FL,www.SheridanTechnical.com,www.sheridantechnical.com/HowtoApply/FinancialAid/NetPriceCalculator/tabid/902/language/en-US/Default.aspx,21
137272,807500,8075,Saint John Vianney College Seminary,Miami,FL,sjvcs.edu,sjvcs.edu,21
137281,152300,1523,Saint Johns River State College,Palatka,FL,www.sjrstate.edu,www.sjrstate.edu/netprice.html,32
137315,152200,1522,South Florida State College,Avon Park,FL,www.southflorida.edu,www.southflorida.edu/student/services/financialaid/netpricecalculator/,41
137351,153700,1537,University of South Florida-Main Campus,Tampa,FL,www.usf.edu,usfweb2.usf.edu/finaid/npc/npcalc.htm,11
137476,146800,1468,St Thomas University,Miami Gardens,FL,www.stu.edu,www.stu.edu/FinancialAidCalculator/tabid/2064/Default.aspx,21
137537,841700,8417,Stenotype Institute of Jacksonville Inc-Jacksonville,Jacksonville,FL,www.stenotype.edu,www.stenotype.edu,11
137546,153100,1531,Stetson University,DeLand,FL,www.stetson.edu,stetson.studentaidcalculator.com/welcome.aspx,22
137564,152100,1521,Southeastern University,Lakeland,FL,www.seu.edu/,www.seu.edu/admission/financial-aid4/cost-calculator-freshman/,13
137591,3018500,30185,Benes International School of Beauty,New Port Richey,FL,https://www.bisbschoolfl.com/,www.bisbschoolfl.com/,21
137713,752500,7525,Suwannee-Hamilton Technical Center,Live Oak,FL,suwannee.shtc.schooldesk.net/,suwannee.shtc.schooldesk.net/AboutUs/FinancialAid/tabid/10123/Default.aspx,33
137759,153300,1533,Tallahassee Community College,Tallahassee,FL,https://www.tcc.fl.edu,tccpassport.tcc.fl.edu/public/Pages/NetPriceCalculator.aspx,12
137777,2508900,25089,Talmudic College of Florida,Miami Beach,FL,www.talmudicu.edu,www.talmudicu.edu/npcalc.htm,13
137801,153400,1534,Everest University-Tampa,Tampa,FL,www.everest.edu/campus/tampa,www.Everest.edu/npc,11
137810,2599800,25998,Everest University-Largo,Largo,FL,www.everest.edu/campus/largo,www.Everest.edu/npc,13
137847,153800,1538,The University of Tampa,Tampa,FL,www.ut.edu,www.ut.edu/financialaid/calculators/,11
137856,3100800,31008,Taylor Technical Institute,Perry,FL,www.taylortech.org,www.taylortech.org/NetPriceCalculator/npcalc.htm,41
137865,1082600,10826,Tom P Haney Technical Center,Panama City,FL,www.bayschools.com/htc,www.bayschools.com/Portals/35/netpricecalc/npcalc.htm,22
137953,3101900,31019,Trinity Baptist College,Jacksonville,FL,www.tbc.edu,media.tbc.org/NetPriceCalculator/npcalc.htm,11
137962,3028200,30282,Trinity College of Florida,Trinity,FL,trinitycollege.edu,trinitycollege.edu,21
138132,2148200,21482,Fashion Focus Hair Academy,Sarasota,FL,www.fashionfocusacad.com,fashionfocusacad.com/index.php?option=com_wrapper&view=wrapper&Itemid=134,21
138187,675000,6750,Valencia College,Orlando,FL,valenciacollege.edu,valenciacollege.edu/finaid/npcalc.htm,12
138275,884800,8848,Warner University,Lake Wales,FL,www.warner.edu,www.warner.edu/index/financialservices/scholarshipcalculator.asp,41
138284,752600,7526,Washington-Holmes Technical Center,Chipley,FL,whtc.us,whtc.us,32
138293,154000,1540,Webber International University,Babson Park,FL,www.webber.edu,npc.collegeboard.org/student/app/webber,31
138309,869410,8694,Rasmussen College-Florida,Ocala,FL,rasmussen.edu,rasmussen.studentaidcalculator.com/survey.aspx,13
13830901,869411,8694,Rasmussen College-New Port Richey,New Port Richey,FL,http://www.rasmussen.edu,NULL,NULL
13830902,869413,8694,Rasmussen College-Fort Myers,Fort Myers,FL,http://www.rasmussen.edu,NULL,NULL
13830903,869420,8694,Rasmussen College-Tampa/Brandon,Tampa,FL,http://www.rasmussen.edu,NULL,NULL
13830904,869422,8694,Rasmussen College-Land O' Lakes,Land O'Lakes,FL,NULL,NULL,NULL
138354,395500,3955,The University of West Florida,Pensacola,FL,uwf.edu,uwf.edu/finaid/npcalc.cfm,13
138372,2321200,23212,Westside Tech,Winter Garden,FL,www.ocpstechcenters.net/WestsideTech/Pages/default.aspx,www.ocpstechcenters.net/westsidetech/studentcenter/Pages/Consumer-Information.aspx,21
138479,3003600,30036,William T McFatter Technical Center,Davie,FL,www.mcfattertech.com,www.mcfattertech.com/HowtoApply/FinancialAid/CostEstimator/tabid/2944/language/en-US/Default.aspx,21
138488,2504600,25046,Winter Park Tech,Winter Park,FL,www.wpt.ocps.net,www.wpt.ocps.net,21
138497,2300900,23009,Withlacoochee Technical Institute,Inverness,FL,www.wtionline.cc,www.wtionline.cc,23
138558,154100,1541,Abraham Baldwin Agricultural College,Tifton,GA,www.abac.edu,www.abac.edu/sfs/cost_estimation.cfm,32
138600,154200,1542,Agnes Scott College,Decatur,GA,www.agnesscott.edu,www.collegecostcalculator.org/agnesscott,21
138655,2284300,22843,Interactive College of Technology-Chamblee,Chamblee,GA,www.ict.edu,ict.edu/net-price-calculator/,21
138664,2284308,22843,Interactive College of Technology-Morrow,Morrow,GA,ict.edu,ict.edu/net-price-calculator/,21
138682,560100,5601,Albany Technical College,Albany,GA,www.albanytech.edu,www.albanytech.edu/images/netcalc/,13
138691,154300,1543,Darton State College,Albany,GA,www.darton.edu,www.darton.edu/admin/finaid/calc,13
138716,154400,1544,Albany State University,Albany,GA,www.asurams.edu/,www.asurams.edu/web/prospective/net-price-calculator,13
138761,154500,1545,Andrew College,Cuthbert,GA,www.andrewcollege.edu,npc.collegeboard.org/student/app/andrew?iframe=true,32
138789,154600,1546,Armstrong Atlantic State University,Savannah,GA,www.armstrong.edu,www.armstrong.edu/Departments/financial_aid/finaid_net_price_calculator,12
138813,927000,9270,The Art Institute of Atlanta,Atlanta,GA,www.artinstitutes.edu/atlanta,tcc.noellevitz.com/edmc/Freshman-Students?iframe=true&width=600&height=1000,13
138822,3005400,30054,Georgia Career Institute,Conyers,GA,gci.edu/,gci.edu/NetCalc/npcalc,21
138840,854300,8543,Atlanta Technical College,Atlanta,GA,www.atlantatech.edu/,old.atlantatech.edu/Netprice/npcalc.htm,11
138868,154700,1547,Point University,West Point,GA,www.point.edu,www.point.edu/netpricecalculator,32
138901,1216500,12165,Atlanta Metropolitan State College,Atlanta,GA,www.atlm.edu,www.atlm.edu/students/Net%20Price%20Calculator/npcalc.htm,11
138929,3173300,31733,Atlanta's John Marshall Law School,Atlanta,GA,www.johnmarshall.edu,www.johnmarshall.edu/futurestudent/admissions-aid/financialaid/,11
138938,2580200,25802,Atlanta School of Massage,Atlanta,GA,www.atlantaschoolofmassage.com,www.atlantaschoolofmassage.com/financial.asp,21
138947,155900,1559,Clark Atlanta University,Atlanta,GA,www.cau.edu,cau.studentaidcalculator.com/survey.aspx,11
138956,559900,5599,Augusta Technical College,Augusta,GA,www.augustatech.edu,www.augustatech.edu/application_deadline.html,12
139010,1107400,11074,Bainbridge State College,Bainbridge,GA,www.bainbridge.edu,ares.bainbridge.edu/student/fina_aid/files/2013-2014/NetPriceCalculator/npcalc.htm,32
139074,1157400,11574,Bauder College,Atlanta,GA,www.bauder.edu/,www.bauder.edu/tuition-fees/,11
139092,2577700,25777,Beauty College of America,Forest Park,GA,NULL,NULL,21
139144,155400,1554,Berry College,Mount Berry,GA,www.berry.edu,berry.studentaidcalculator.com/survey.aspx,23
139153,3076300,30763,Beulah Heights University,Atlanta,GA,www.beulah.edu,www.beulah.edu/page.aspx?pid=464,11
139199,155600,1556,Brenau University,Gainesville,GA,www.brenau.edu,www.brenau.edu/netpricecalculator,13
139205,155700,1557,Brewton-Parker College,Mount Vernon,GA,www.bpc.edu,www.bpc.edu/calculator/npcalc.htm,42
139214,2060900,20609,Brown College of Court Reporting,Atlanta,GA,www.bccr.edu,www.bccr.edu,11
139250,155800,1558,College of Coastal Georgia,Brunswick,GA,www.ccga.edu,www.ccga.edu/netprice/netpricecalculator/,13
139278,1048700,10487,West Georgia Technical College,Waco,GA,www.westgatech.edu,www.westgatech.edu/admissions/netpricecalc.htm,41
139287,3635300,36353,Carver Bible College,Atlanta,GA,www.carver.edu,www.carver.edu,21
139311,897600,8976,Clayton State University,Morrow,GA,www.clayton.edu,adminsystems2.clayton.edu/price/,21
139348,156000,1560,Columbia Theological Seminary,Decatur,GA,WWW.CTSNET.EDU,NULL,21
139357,562400,5624,Columbus Technical College,Columbus,GA,www.columbustech.edu/,www.columbustech.edu/NetPrice/npcalc.htm,12
139366,156100,1561,Columbus State University,Columbus,GA,www.columbusstate.edu,finaid.columbusstate.edu/netprice.php,12
139384,402400,4024,Georgia Northwestern Technical College,Rome,GA,www.gntc.edu,www.gntc.edu/student-services/npcalc/npcalc.htm,13
139393,348400,3484,Covenant College,Lookout Mountain,GA,www.covenant.edu,huss.covenant.edu/netprice/,21
139463,395600,3956,Dalton State College,Dalton,GA,www.daltonstate.edu/,www.daltonstate.edu/financial-aid/net-price-calculator/index.htm,13
139506,1205100,12051,Pro Way Hair School,Stone Mountain,GA,www.prowayhairschool.com,www.prowayhairschool.com,21
139579,1303900,13039,South University-Savannah,Savannah,GA,www.southuniversity.edu,tcc.noellevitz.com/edmc/Transfer-Students?iframe=true&width=600&height=1000,12
139621,1099700,10997,East Georgia State College,Swainsboro,GA,www.ega.edu,www.ega.edu,33
139630,156300,1563,Emmanuel College,Franklin Springs,GA,www.ec.edu,www.ecnetprice.com,32
139658,156400,1564,Emory University,Atlanta,GA,www.emory.edu,www.emory.edu/FINANCIAL_AID/,21
139700,950700,9507,Georgia Highlands College,Rome,GA,www.highlands.edu,www.highlands.edu/site/business-office-net-price-calc,41
139719,156600,1566,Fort Valley State University,Fort Valley,GA,www.fvsu.edu,www.fvsu.edu/financial_aid/net_price_calculators,31
139746,411700,4117,Grady Health System Professional Schools,Atlanta,GA,www.gradyhealthsystem.org,NULL,11
139755,156900,1569,Georgia Institute of Technology-Main Campus,Atlanta,GA,www.gatech.edu,www.admission.gatech.edu/npcalc/npcalc1011.htm,11
139764,157300,1573,Georgia Southwestern State University,Americus,GA,gsw.edu/main/,gsw.edu/Financial-Aid/netPriceCalculator,32
139861,160200,1602,Georgia College and State University,Milledgeville,GA,WWW.GCSU.EDU,irout.gcsu.edu/cc/,32
139904,157100,1571,Georgia Military College,Milledgeville,GA,www.gmc.cc.ga.us/,www.gmc.cc.ga.us/page.php?page_id=1268&search=calculator,32
13990401,157110,1571,GMC-Sandersville,Sandersville,GA,http://www.gmc.cc.ga.us/,NULL,NULL
13990402,157111,1571,GMC-Madison,Madison,GA,http://www.gmc.cc.ga.us/,NULL,NULL
139931,157200,1572,Georgia Southern University,Statesboro,GA,www.georgiasouthern.edu,www.collegeportraits.org/GA/GSOU/estimator/agree,33
139940,157400,1574,Georgia State University,Atlanta,GA,www.gsu.edu,www.gsu.edu/admissions/cost_calculator.html,11
139959,159800,1598,University of Georgia,Athens,GA,www.uga.edu,www.collegeportraits.org/GA/UGA/estimator/agree,12
139968,157500,1575,Gordon State College,Barnesville,GA,www.gordonstate.edu/,www.gordonstate.edu/FinancialAid/NetPriceCalculator/npcalc.htm,32
139986,562100,5621,Southern Crescent Technical College,Griffin,GA,www.sctech.edu,www.sctech.edu/npc/npcalc.htm,21
139995,1077100,10771,Gupton Jones College of Funeral Service,Decatur,GA,WWW.GUPTON-JONES.EDU,WWW.GUPTON-JONES.EDU,21
140003,2583000,25830,Gwinnett College-Lilburn,Lilburn,GA,www.gwinnettcollege.edu,www.gwinnettcollege.edu/npcalc.htm,21
140012,2288400,22884,Gwinnett Technical College,Lawrenceville,GA,www.GwinnettTech.edu,www.gwinnetttech.edu/netprice/,21
